PlayerName,SmurfName
Adrian,TSM Piccaboo
Adrian,Adrian Ma
Adrian,TiP Adriqn
Adrian,TiP Adrian
Akaadian,llllliiiilllllll
Akaadian,pineappleonpizza
Alex Ich,RNG Ichy Ich
Altec,wxmx
Altec,Ohhhq
Altec,1k2o1ko12ko12ko2
Altec,LgdsrR
Altec,FLY ALTEC
Altec,ALT3C
Aphromoo,aphromoo
Aphromoo,Zbuum
Apollo,SIick Mahony
Apollo,Pretty Raheem
Apollo,Flula Borg
Apollo,WizFujiiN
Apollo,6 Appeal
Arrow,Arrowlol
Arrow,League of Arrow
Arrow,ArrowDongTak
Azingy,Azingy
Azingy,Azingy2
Balls,C9 Balls
Balls,BlG HUEVOS
Balls,C9 Mudkip
Biofrost,Biofrost
Bjergsen,l am Bjerg
Bjergsen,elskerminepolser
Bjergsen,TSM TIKKA MASALA
Bjergsen,S?ren Bjerg
Bjergsen,qldurtms
Bjergsen,Soerenbjerg
Bodydrop,NME Bodydrop
Boxbox,? ?
Boxbox,Plumber
Boxbox,Upu
Boxbox,Kios
Boxbox,Kaihua
Boxbox,Toooby
Boxbox,Porogami
Boxbox,Ayai
Boxbox,Two Pants
CaliforniaTrlolz,CaliTrlolz8
CaliforniaTrlolz,SEJUNI
Chaser,Chas‚r
Chaser,Ch…se
Choi,Ryan Choi
Choi,Zero Slate
Cody Sun,Cody Sun
Contractz,Contractz
Contractz,tupo reborn
Cop,kj4DqqFpMxVL
Crumbzz,RNG CRBZ
Dardoch,N0L1F3
Dodo,Dodo8
Dodo,CoCo8
Doublelift,Doublelift
Doublelift,Peng Yiliang
Doublelift,zero and ten
Doublelift,doubleliftfanboy
Dyrus,Dyrus
Dyrus,1800MICROWAVES
Dyrus,suryD
Faker,SKT T1 Faker
Faker,Hide on bush
Fenix,Liquid FeniX
Fenix,RO0Kie
Fenix,Fenix TL
Fenix,Fenix lol
Flaresz,CanIgetRank1xD
Flaresz,Flareszt
Froggen,Henrik Hansen
Froggen,You Got Frogged
Froggen,Anivia Kid
FuFuu,GV Bunny FuFuu
FuFuu,LiL Bunny FuFuu
FuFuu,ripmkryzejm
Gamsu,Loopercorn
Gamsu,Core Hound
Gate,TiP Gate
Gate,TlP Gate
Gate,Gate
Goldenglue,goldenglue
Hai,C9 Hai
Hai,BaamSouma
Hai,TINY HUEVOS
Hai,FlyQ Hai
Hakuho,Hakuho
Hauntzer,Hauntzer
Hauntzer,ice
Hauntzer,Sanic Boom
Hauntzer,greatkaichamp04
Hauntzer,yarnello
Helios,HelioScarlet
Hi Im Gosu,hi im gosu
Hi Im Gosu,CLG Deftsu
Hi Im Gosu,plzbuffmarksman
Hi Im Gosu,kyaa senpai x3
Hi Im Gosu,G U CK F O S U
Hjarnan,H2k Hjärnan IV20
Hjarnan,IIIlllIIIIIlIlIl
Huhi,Huhi
Imaqtpie,Imaqtpie
Imaqtpie,feed l0rd
Imaqtpie,B1G Kr1T
Imaqtpie,Fat American
Impact,TiP Impact
Impact,Yasuo gosu
Impact,C9 Eon Young
Incarnation,C9 Incarnati0n
Incarnation,C9 Incarnati0nn
Incarnation,C9 Jensen
Innox,InnoX
Inori,No Rage No Flame
Inori,P1 Inori
IWillDominate,VGtenwow World6
IWillDominate,Liquid lWD
IWillDominate,RNGLetMe
Jayce,Just Jayce
Jayce,Not Narakyle
Jensen,C9 Jensen
Jensen,C9 Incarnati0n
JJ,DuBuKiD
JJ,CoreEJ
kaSing,H2k kaSing
kaSing,IIIIIllllIIIllIl
Keane,GV Keane
Keane,enaek
Keane,Chipotlehunter
Keane,keanely
Keane,Kea?e
Keith,fantastic ad
Kez,O Y A B O N G
Kez,D D A B O N G
Kez,K K O B O N G
Kiwikid,mrs santana
Kiwikid,KiWiKiD
Kiwikid,HUYA GorilIA
Legendary,RF Legendary
Legendary,GIRL STREAMER
Legendary,duo to homecomin
LemonNation,C9 LemonNation
LemonNation,C9 Lemon
LemonNation,FLY Lemon
Link,Link
Link,pnq6ZgyBEvUT
Link,sooyoung
LOD,Benjamin420360
LOD,LOD
Lourlo,Liquid Ezra
Lustboy,TSM Lustboy
Lustboy,Casker
Lustboy,Lustnation
Maplestreet,Imagine Maple
Matt,LCS Actor 4
Meteos,C9 Meteos
Meteos,C10 Meteos
Meteos,Meteos
Meteos,Short Dog
Moon,WE Sp1rit
Moon,perfect fingers
Nightblue3,Nightblue3
Nightblue4,SKT T1 Nightblue
Ninja,CrossNA
Otter,NME otter
Otter,otter
P1noy,1212122212121210
Piglet,Liquid Piglet
Piglet,GodPiglet
Piglet,Icarrynp
Pobelter,Pobelter
Pobelter,Eugene J Park
Pobelter,CirilIa
Pobelter,Popobelterold
Pobelter,bjergerfan76
PorpoisePops,PorpoiseDeluxe
Quas,Liquid Quas
Quas,Entranced
Quas,Quasmire
Quas,calihueva
Ray,C9 Sword
Ray,C9 Ray
Rush,Azubu Rush
Rush,TiP Rush
Rush,Yoonjae Lee
Ryu,ChiNa N0 1
Ryu,AxAxAxAxA
Saintvicious,One Called Saint
Saintvicious,Vicious one
Saintvicious,TiP Mush
Santorin,HotGuy6Pack
Santorin,Waka Waka
Scarra,scarra
Scarra,cesuna
Seraph,Surender
Seraph,Arena kina
Shiphtur,Shiphtur
Shiphtur,Waker
Shiphtur,Chapanya
Shiphtur,TransIogic
Slooshi,Slooshi8
Smoothie,Liquid Smoothie
Smoothie,C9 Smoothie
Smoothie,C9 Winter
Sneaky,C9 Sneaky
Sneaky,C9 StealthBomber
Sneaky,C9 Gun
Ssumday,Ssumdayday
Steeelback,IMG Steeelback
Stixxay,Stixxay
Stunt,P1 Shady
Svenskeren,am‚liorer
TheOddOne,TheOddOne
TheOddOne,Golan
Trashy,NME Trashyy
Trashy,hamdendaarlige
Trick2g,KING TRICK
Trick2g,Trick2g
Trick2g,Tilthour
Trick2g,Tricky2g
Voyboy,Voyboy
Voyboy,50 Shades of Eyy
Wildturtle,WildTurtle
Wildturtle,Turtle the Cat
Wildturtle,OVRJYWCE
Wildturtle,Long Cat 4
WildTurtle,WildTurtl
WildTurtle,FZ3R0
Wingsofdeath,Wingsofdeathx
Wingsofdeath,DyrudeJstorm RMX
Xiaoweixiao,lIIIIlllIIIllll
Xiaoweixiao,IlIlIIIIllllIIII
XJ9,XJPrincess
Xmithie,momsbaguette
Xmithie,Xminie
Xmithie,Xmithie
Xpecial,Some Support
Xpecial,Xpecial
Xpecial,Liquid Xpecial
Zig,P1 zig
ZionSpartan,CLG ZionSpartan
ZionSpartan,ZionSpartan
ZionSpartan,WoofWoofHuhiDog
ZionSpartan,ATOZSELLOUTBOYS
